category,city/state,language,impact,Type of Policy,expiration,section
Gives Officers Unfair Access to Information,Santa Monica,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2013,310.7
Gives Officers Unfair Access to Information,Santa Monica,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2013,310.7
Gives Officers Unfair Access to Information,Santa Maria,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2009,310.6
Gives Officers Unfair Access to Information,Santa Maria,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2009,310.6
Gives Officers Unfair Access to Information,El Monte,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2014,310.6
Gives Officers Unfair Access to Information,El Monte,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2014,310.6
Gives Officers Unfair Access to Information,El Monte,"Any officer involved in an incident may be permitted to review available Mobile Audio
Video (MAV) or other video or audio recordings prior to providing a recorded statement or
completing reports.",Allows officers to review video recording. ,Policy Manual,2014,310.8
Gives Officers Unfair Access to Information,El Monte,"When preparing written reports, members should review their recordings as a resource.
However, members should not use the fact that a recording was made as a reason to write
a less detailed report.",Allows officers to review video recording. ,Policy Manual,2014,450.9
Gives Officers Unfair Access to Information,Fullerton,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2013,310.7
Gives Officers Unfair Access to Information,Fullerton,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2013,310.7
Gives Officers Unfair Access to Information,West Covina,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2017,309.6
Gives Officers Unfair Access to Information,West Covina,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2017,309.6
Gives Officers Unfair Access to Information,West Covina,"Any officer involved in an incident may be permitted to review available Mobile Audio
Video (MAV) or other video or audio recordings prior to providing a recorded statement or
completing reports.",Allows officers to review video recording. ,Policy Manual,2017,309.7
Gives Officers Unfair Access to Information,Ontario,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2017,310.6
Gives Officers Unfair Access to Information,Ontario,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2017,310.6
Gives Officers Unfair Access to Information,Ontario,"Any officer involved in an incident may be permitted to review available Mobile Audio
Video (MAV) or other video or audio recordings prior to providing a recorded statement or
completing reports.",Allows officers to review video recording. ,Policy Manual,2017,310.7
Gives Officers Unfair Access to Information,Ontario,"When preparing written reports, members should review their recordings as a resource. However,
members should not use the fact that a recording was made as a reason to write a less detailed
report.",Allows officers to review video recording. ,Policy Manual,2017,450.9
Gives Officers Unfair Access to Information,Palm Springs,The involved officer shall be provided with a copy of his or her prior statement before proceeding with any subsequent interview(s). (Govt. Code § 3303(g)),Allows officer to review statement prior to interview,Policy Manual,2014,310.7
Gives Officers Unfair Access to Information,Palm Springs,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2014,310.7
Gives Officers Unfair Access to Information,Palm Springs,"Any officer involved in an incident may be permitted to review available Mobile Audio
Video (MAV) or other video or audio recordings prior to providing a recorded statement or
completing reports.",Allows officers to review video recording. ,Policy Manual,2014,310.8
Gives Officers Unfair Access to Information,Palm Springs,"When preparing written reports, members should review their recordings as a resource.
However, members should not use the fact that a recording was made as a reason to write
a less detailed report.",Allows officers to review video recording. ,Policy Manual,2014,450.9
Gives Officers Unfair Access to Information,Alpine County Sheriff's ,"Initial Notice of Intended Disciplinary Action. Prior to the proposed imposition of disciplinary action, excluding written reprimands, the Sheriff shall give written notice to the employee. This written notice of intended disciplinary action shall be personally delivered to the employee or sent to the employee by certified mail. The contents of the written notice shall include, but need not be limited to, the following: a. A statement in ordinary and concise language outlining in detail the specific violations of Department rules, regulations, ordinances, policies, or any state or federal law that the employee is alleged to have violated. b. The contemplated disciplinary action, the effective date, and the reason(s) for that specific action. c. Copies of all materials pertaining to the charges including, but not limited to, tape recordings, reports, memorandums, transcripts, witness statements, and all other available materials and evidence. d. Notice that the employee may request a pre-disciplinary hearing within 10 calendar days of delivery or mailing of the intended disciplinary action notice. Such request must be made in writing, addressed to the Sheriff. The pre-disciplinary hearing may be waived by the employee, either by written waiver or by failure to submit the written request for pre-disciplinary hearing within the the time allowed. The pre-disciplinary hearing shall be before the Sheriff or his/her designee. The empoylee shall be afforded a reasonable  opportunity to respond orally or in writing at the meeting. e. A complete statement of the employee's rights and responsibilities as they pertain to the Disciplinary Action and Appeals Procedure including the employee's right to be represented during such hearings and any other steps in the appeal process.",Allows officers to see all evidence before hearing. ,MOU,2021,22.E.2
Gives Officers Unfair Access to Information,Del Norte County Sheriff's,"Written Notice of Charses: When the appointing authority determines that sufficient grounds exist for imposing discipline on an employee, and following clearance by the Human Resources Manager, the appointing authority shall prepare and provide to the employee a written notice of charges at least five (5) working days prior to the effective date of the proposed discipline. The notice shall contain the following information:The provision(s) of Section 12.10 allegedly violated.A statement of the specific acts or omissions upon which the discipline is based, including the names, dates, times, locations and circumstances of the alleged violation(s), unless the information is privileged, stated in clear and concise language. The statement shall be sufficiently specific as to fully inform the employee of the nature of the charges against him/her.A statement that a copy of all non-privileged materials upon which the discipline is based are attached or available for inspection upon request.A description of the proposed discipline and its effective date(s). A statement advising the employee of the right to request a hearing on the charges, and the time frame in which such a request must be made.A statement advising the employee of the right to representation at any and all disciplinary proceedings.A blank ""Response to Charges and Request for Hearing"" form, the signing and return of which to the Human Resources Manager constitutes activation of the hearing process.",Allows officers to see evidence before hearing. ,MOU,2017,12.12
Gives Officers Unfair Access to Information,Glenn County Sheriff's,"The appointing authority may initiate disciplinary action against an employee for cause by serving upon the employee a written of intent to impose disciplinary action. The notice of intent shall be served upon the employee either personally or by mail and shall include: (a) a statement of the nature of the disciplinary action (b) a statement of the causes therefore (c) a statement ordinary and concise language of the acts or omissions upon which the causes are based, (d) copies of all
documents and materials upon which the action is based (e) a statement advising the employee of his or her right to respond to the notice of intent before disciplinary action is taken within seven (7) working days of the date of service orally or in writing or both and (f) a statement advising the employee that if disciplinary is imposed he or she may appeal such action to a neutral third party by filing a request to the Personnel Director within thirty (30) calendar days of service of the notice that the punishment will be imposed. A probationary employee shall not have the right to appeal.",Allows officers to see evidence before hearing. ,MOU,2017,7.01
Gives Officers Unfair Access to Information,Amador County Sheriff's ,"Any employee under investigation shall be informed, in writing, of the nature of the investigation, prior to questioning of the employee.",Gives officers access to information prior to interrogation.,MOU,2019,19.33
